restaurant,address,city,state,zipcode,inspection_date,score,latitude,longitude
HYATT CORPORATION D/B/A HYATT CENTRIC MIDTOWN ATLANTA,125 10th ST,Atlanta,GA,30309,2020-01-10,100,33.7814843,-84.3830344
Subway,2636 Martin Luther King DR STE 9,Atlanta,GA,30311,2019-11-21,91,33.7527051,-84.4742758
Papa John's,6000 Lynmark WAY STE 100,Fairburn,GA,30213,2019-03-07,92,33.5934621,-84.6397784
Tous Les Jours,10820 Abbotts Bridge RD STE E,Duluth,GA,30097,2019-03-14,96,34.0453433,-84.1777738
Thymeless Flair,4707 Washington RD,Atlanta,GA,30349,2019-06-12,100,33.6276546,-84.4931118
Chick A Biddy,264 19th ST STE 2140,Atlanta,GA,30363,2019-05-14,97,33.7930185,-84.3970950
Marcello's Pizza,3655 Roswell RD STE 106,Atlanta,GA,30342,2019-12-19,99,33.8551535,-84.3818643
The 737 LLC DBA Bantam Pub,737 Ralph McGill BLVD,Atlanta,GA,30312,2019-04-30,94,33.7663243,-84.3629744
Kipp Ways Academy,350 Temple ST NW,Atlanta,GA,30314,2019-10-16,100,33.7645310,-84.4227240
MAC The Cheese,2944 Rosebud RD N UNIT D,Loganville,GA,30052,2017-09-14,87,33.8625602,-83.9558543
Roots Pressed Juices LLC,3400 Around Lenox DR STE 202-A,Atlanta,GA,30326,2019-07-03,95,33.8464163,-84.3650177
Zaxby's,425 Ponce De Leon,Atlanta,GA,30308,2019-07-29,94,33.7725666,-84.3734672
Spiedie Zone,2715 Peachtree SQ,Atlanta,GA,30360,2014-09-18,91,33.9251371,-84.2754065
American Wings,890 Cleveland AVE,Atlanta,GA,30315,2019-09-16,92,33.6811195,-84.4181759
10 Degrees South,4183 Roswell RD,Atlanta,GA,30342,2019-09-16,96,33.8690465,-84.3805915
Emory University Midtown Hospital Bakeshop/Storeroom,550 Peachtree ST,Atlanta,GA,30308,2019-06-21,99,33.7687646,-84.3864832
Lunch Bunch Cafe,3535 Piedmont RD BLDG 14,Atlanta,GA,30305,2019-12-03,93,33.8528731,-84.3771218
Memphis Signature Ribs,216 Spring ST SW,Atlanta,GA,30314,2019-05-17,94,33.6247131,-84.4833704
Folk Art Restaurant LLC,465 North Highland AVE,Atlanta,GA,30307,2019-09-24,91,33.7666347,-84.3529433
Rock N Taco,3247 Roswell RD,Atlanta,GA,30305,2019-09-03,86,33.8438004,-84.3788584
Another Broken Egg Cafe,2355 Peachtree RD NE,Atlanta,GA,30305,2019-06-27,94,33.8191662,-84.3875183
Kipp Strive Primary,1448 Lucille AVE SW,Atlanta,GA,30314,2019-10-01,100,33.7419148,-84.4345392
Homewood Suites,10775 Davis DR,Alpharetta,GA,30009,2019-11-14,97,34.0411948,-84.3130718
Back Stage Atlanta,2505 Godby RD,Atlanta,GA,30349,2019-07-18,98,33.6170218,-84.4716111
Best Pizza Wings & Pasta,4508 Washington RD,Atlanta,GA,30349,2020-01-02,70,33.6330912,-84.4916957
Wings 101,2625 Piedmont RD UNIT 54,Atlanta,GA,30324,2019-07-16,91,33.8274532,-84.3657936
Tokyo Boat 2.Inc,1425 Market BLVD STE 320,Roswell,GA,30075,2019-07-05,93,34.0181013,-84.3206112
Su's Chinese Cuisine,1510 Piedmont AVE STE F,Atlanta,GA,30324,2018-02-06,97,33.7965477,-84.3709212
Moe's Southwest Grill,1000 North Point CIR STE 2188,Alpharetta,GA,30022,2019-12-17,99,34.0484137,-84.2938403
Chipotle Mexican Grill # 1906,10910 Haynes Bridge RD,Alpharetta,GA,30022,2019-11-20,100,34.0517726,-84.2862850
Wing Lover,2053 Sylvan RD,Atlanta,GA,30310,2019-04-16,81,33.6984877,-84.4186925
Arbor Terrace at Cascade,1001 Research CTR,Atlanta,GA,30331,2019-05-07,93,33.7257174,-84.5040735
MAMA'S PIZZA,5950 North Point PKWY STE 110,Alpharetta,GA,30022,2020-01-14,96,34.0491752,-84.2812470
Brookdale Dunwoddy,1460 Johnson Ferry RD,Atlanta,GA,30319,2018-03-21,96,33.9041061,-84.3477903
Burger Joy BBQ Wings,371 Boulevard SE STE 3A,Atlanta,GA,30312,2018-08-24,71,33.7445070,-84.3685049
Murrell's Cafe,700 Martin Luther King Jr. DR SW,Atlanta,GA,30314,2019-06-18,92,33.7540046,-84.4094726
Dunkin Donuts,682 Blvd NE,Atlanta,GA,30308,2019-07-09,90,33.7733223,-84.3714345
FIREFLY,3070 Windward PLaza STE P,Alpharetta,GA,30005,2019-02-14,95,34.0933103,-84.2412232
JO JO's Wings and Grill,8540 Roswell RD STE 300,Atlanta,GA,30350,2019-11-18,100,33.9866021,-84.3515334
Chick-Fil-A,285 Andrew Young International BLVD,Atlanta,GA,30313,2020-03-02,100,33.7585199,-84.3961482
EBENEZER BAPTIST CHURCH,101 NE JACKSON ST,Atlanta,GA,30312,2019-10-07,96,33.7567529,-84.3739600
Suite Food Lounge,375 Luckie ST,Atlanta,GA,30313,2019-03-29,77,33.7649637,-84.3957199
Suite Food Lounge/Downstair Bar,375 Luckie ST,Atlanta,GA,30313,2018-09-17,97,33.7649637,-84.3957199
Loving Hut,220 Hammond DR STE 302,Atlanta,GA,30328,2020-01-30,94,33.9190243,-84.3812519
Suite Food Lounge (Upstair Bar),375 Luckie ST,Atlanta,GA,30313,2019-04-16,98,33.7649637,-84.3957199
Jimmy John's,5626 Fulton Industrial BLVD,Atlanta,GA,30336,2018-07-16,83,33.7325114,-84.5676260
Hurricane Grill & Wings,9700 Medlock Bridge RD STE 120,Duluth,GA,30097,2018-12-03,96,34.0175527,-84.1923682
Westside Cultural Arts Center,760 10th ST NW,Atlanta,GA,30318,2019-06-14,100,33.7814123,-84.4126260
Georgia Baptist Homes & Family Ministries,9250 Hutcheson Ferry RD,Palmetto,GA,30268,2019-08-27,92,33.5234862,-84.6817529
Planet Smoothie,231 Peachtree ST STE FC-14,Atlanta,GA,30303,2018-08-16,96,33.7602143,-84.3869346
Sausalito West Coast Grill,1422 West Peachtree ST,Atlanta,GA,30309,2017-06-27,73,33.7934301,-84.3880373
Michael's Cafe,1100 Spring ST NW,Atlanta,GA,30309,2019-05-29,93,33.7847897,-84.3897265
The Schenck School,282 Mt. Paran RD,Atlanta,GA,30327,2019-10-17,100,33.8881571,-84.3967775
Smoke Ring,309 Nelson ST SW,Atlanta,GA,30313,2019-12-06,62,33.7522000,-84.3981700
Paris Bistro,5 Concourse PKWY STE 130,Atlanta,GA,30328,2019-12-30,97,33.9170796,-84.3545130
The Original Walters Soulfood Cafe,4641 Flat Shoals STE B,Union City,GA,30291,2019-03-14,87,33.5847669,-84.5404433
Kappa Sigma,182 Sixth ST NW,Atlanta,GA,30313,2019-05-21,97,33.7778821,-84.3932701
The Loaded Burger,6131 Peachtree PKWY,Norcross,GA,30092,2019-06-12,93,33.9517077,-84.2362355
Jtan Commissary Kitchen,725 Pleasant Hill ST,Roswell,GA,30075,2019-11-12,100,34.0182269,-84.3607359
J TAN Vending And Concession,3179 Peachtree RD,Atlanta,GA,30305,2019-09-06,96,33.8408496,-84.3752876
ZOE's Kitchen,10920 Haynes Bridge RD STE 100,Alpharetta,GA,30022,2019-11-20,95,34.0521837,-84.2862645
A-Town Wings,2480 Flat Shoals RD,Atlanta,GA,30349,2019-12-16,97,33.5885044,-84.4698688
East Point Fish & Wings,2941 Main ST,Atlanta,GA,30344,2019-06-20,90,33.6750394,-84.4421688
Chick-fil-A Lenox Square,3393 Peachtree RD,Atlanta,GA,30326,2020-03-03,99,33.8465156,-84.3626785
THAI HOUSE,10930 Crabapple RD STE 5,Roswell,GA,30075,2020-01-22,100,34.0476037,-84.3625294
ATL Wings,2205 Campbellton RD,Atlanta,GA,30311,2020-01-02,80,33.7056321,-84.4606847
Corner Bakery Cafe,10920 Haynes Bridge Road STE 200,Alpharetta,GA,30022,2019-11-20,91,34.0521837,-84.2862645
Olivia's Dollhouse Tea Room,5075 Abbotts Bridge RD STE 150,Alpharetta,GA,30005,2019-02-25,100,34.0633026,-84.2114936
Subway,1105 Research Center,Atlanta,GA,30331,2019-05-07,91,33.7261577,-84.5038759
Subway #40822,1801 Howell Mill RD NW,Atlanta,GA,30318,2019-06-20,96,33.8031350,-84.4116036
Subway #2974,1715 Howell Mill RD STE C1415,Atlanta,GA,30318,2019-06-25,97,33.8019480,-84.4131969
Atlantic Station 16 VIP,261 19th ST NW,Atlanta,GA,30363,2019-03-13,92,33.7938210,-84.3960893
Atlanta National Golf Club-Grill,350 Tournament Players DR,Alpharetta,GA,30004,2019-11-05,91,34.1230063,-84.3530211
Atlanta National Golf Club-Bar,350 Tournament Players DR,Alpharetta,GA,30004,2019-06-18,94,34.1230063,-84.3530211
Atlanta National Golf Club-Pub,350 Tournament Players DR,Alpharetta,GA,30004,2019-11-05,99,34.1230063,-84.3530211
White Columns Country Club (renovation),300 Clubhouse DR,Alpharetta,GA,30004,2019-03-20,95,34.1517952,-84.3296072
Atlanta National Golf Club-Kitchen,350 Tournament Players DR,Alpharetta,GA,30004,2019-11-05,99,34.1230063,-84.3530211
Fire House Subs,6309 Roswell RD,Atlanta,GA,30328,2019-11-25,96,33.9272052,-84.3784153
Sweet Auburn BBQ,656 North Highland AVE NE,Atlanta,GA,30306,2019-07-30,94,33.7723025,-84.3527352
Bell Street Burritos,1816 Peachtree ST,Atlanta,GA,30309,2019-04-23,96,33.7987912,-84.3915694
Salt Factory Pub,102 South Main ST,Alpharetta,GA,30009,2019-10-25,98,34.0724760,-84.2951262
Jeni's Splendid Ice Creams,1198 Howell Mill RD,Atlanta,GA,30318,2019-06-14,94,33.7867658,-84.4122192
AMC NORTH POINT MALL 12,4500 North Point CIR,Alpharetta,GA,30022,2019-11-20,96,34.0480375,-84.2964746
AMC NORTH POINT MALL 12 BAR,4500 North Point CIR,Alpharetta,GA,30022,2019-11-20,100,34.0480375,-84.2964746
El Trompo Mexican Taqueria,11877 Douglas RD STE 113,Alpharetta,GA,30005,2019-06-19,99,34.0705796,-84.2068889
Alston & Bird Dining (50th & 51st FLOOR),1201 West Peachtree ST,Atlanta,GA,30309,2019-09-25,93,33.7871136,-84.3872632
Alston & Bird Pantry 49th Floor,1201 West Peachtree ST,Atlanta,GA,30309,2019-09-25,100,33.7871136,-84.3872632
Jeannette Cathy Children's Center,5180 Buffington RD,Atlanta,GA,30349,2019-05-09,99,33.6139725,-84.4996055
Cozumel The Mexican Cantina (Kitchen),5058 Old National HWY,College Park,GA,30349,2019-07-12,80,33.6175704,-84.4721850
Cozumel The Mexican Cantina (Bar),5058 Old National HWY,Atlanta,GA,30349,2019-07-02,99,33.6175704,-84.4721850
Staybridge Suites - Food Service,3420 Norman Berry DR,Atlanta,GA,30354,2019-12-05,94,33.6623261,-84.4276944
Marlow's Tavern,5590 Prado PL STE A-160,Atlanta,GA,30342,2020-03-04,73,33.9074061,-84.3797799
Agavero Cantina,1133 Huff RD STE C,Atlanta,GA,30318,2019-03-20,90,33.7898178,-84.4248983
Alston & Bird 49th Floor Bar,1201 West Peachtree ST,Atlanta,GA,30309,2019-09-25,98,33.7871136,-84.3872632
Taziki's Mediterraniean Cafe,5306 Windward PKWY,Alpharetta,GA,30004,2019-02-13,100,34.0890161,-84.2726270
Osteria Mattone (aft 5 opening),1095 Canton ST,Roswell,GA,30075,2018-10-23,100,34.0284541,-84.3609618
Chipotle Mexican Grill,1745 Peachtree ST NE STE H,Atlanta,GA,30309,2019-06-20,100,33.8017938,-84.3924080
Cigaros,3220 Butner RD STE 210,Atlanta,GA,30331,2019-09-06,93,33.6669113,-84.5490622
Copper Cove Indian Bistro,2991 North Fulton DR,Atlanta,GA,30305,2018-01-23,89,33.8365097,-84.3776556
Gekko Sushi,620 Glen Iris DR STE C,Atlanta,GA,30308,2016-11-10,83,33.7716274,-84.3681286
Tropical Smoothie Cafe,1155 Mount Vernon HWY STE 1040,Atlanta,GA,30338,2019-11-13,100,33.9321375,-84.3485565
Lucura Bar & Bistro,1919 Metropolitan PKWY,Atlanta,GA,30315,2018-10-18,99,33.7027029,-84.4102290
Rusan's,1529 Piedmont AVE STE J,Atlanta,GA,30324,2019-04-05,97,33.7956505,-84.3688884
Rojo Cocina Mexicana &Cantina,885 Woodstock RD STE 410,Roswell,GA,30075,2019-06-18,90,34.0610653,-84.3855772
Capital City Club-Brookhaven Bar And Buffet,53 W. Brookhaven DR,Atlanta,GA,30319,2020-01-29,100,33.8644713,-84.3500438
Tabla,77 12th ST STE RT-2,Atlanta,GA,30309,2019-07-01,100,33.7843782,-84.3851668
Four Seasons Hotel Atlanta- Restaurant,75 14th ST NE,Atlanta,GA,30309,2019-11-01,93,33.7860672,-84.3852926
Four Seasons Hotel Atlanta- Employee Cafeteria,75 14th ST NE,Atlanta,GA,30309,2019-11-01,91,33.7860672,-84.3852926
Four Seasons Hotel Atlanta- Bar,75 14th ST NE,Atlanta,GA,30309,2019-04-15,96,33.7860672,-84.3852926
Red Martini,3179 Peachtree RD,Atlanta,GA,30305,2019-09-07,97,33.8408496,-84.3752876
Panera Bread Cafe 1719,1080 Peachtree ST STE 14,Atlanta,GA,30309,2019-09-04,96,33.7839725,-84.3841840
Chick-fil-A- Cart 1,285 Andrew Young International BLVD,Atlanta,GA,30314,2020-03-02,100,33.7608167,-84.4011791
Chick-fil-A- Cart 2,285 Andrew Young International BLVD,Atlanta,GA,30314,2020-03-02,100,33.7608167,-84.4011791
Chick-fil-A- Cart 3,285 Andrew Young International BLVD,Atlanta,GA,30314,2020-03-02,100,33.7608167,-84.4011791
Nothing Bundt Cakes,5230 Windward Parkway STE 102,Alpharetta,GA,30004,2019-10-22,100,34.0912539,-84.2752008
Sivas,794 Juniper ST,Atlanta,GA,30303,2019-10-21,96,33.7762298,-84.3831999
Eat Fresh,1000 Abernathy Road,Sandy Springs,GA,30328,2019-03-26,91,33.9343834,-84.3544514
Prince Place Cigar Bar And Bistro,365 Peachtree Hills AVE STE 101/102,Atlanta,GA,30305,2018-01-11,92,33.8203357,-84.3730147
SODEXO AT ALCON # 3,11440 Johns Creek PKWY,Duluth,GA,30097,2019-02-26,100,34.0548006,-84.1686057
St. Cecilia,3455 Peachtree RD STE 185,Atlanta,GA,30305,2019-07-16,87,33.8510094,-84.3609808
"Mount Paran Church of God, Inc.",2055 Mount Paran RD,Atlanta,GA,30327,2019-07-15,94,33.8629550,-84.4412020
Cafe Agora,318 East Paces Ferry RD,Atlanta,GA,30305,2019-10-23,80,33.8395415,-84.3774093
American Legion Post 911/Club 291,3011 Campbellton RD SW,Atlanta,GA,30311,2019-01-18,70,33.6963914,-84.4872694
Boogalou Restaurant,239 Ponce De Leon,Atlanta,GA,30308,2016-11-29,96,33.7724045,-84.3794665
Stars and Strikes,8767 Roswell RD,Atlanta,GA,30350,2019-09-11,100,33.9978345,-84.3493986
Joe's On Juniper,1049 Juniper ST,Atlanta,GA,30309,2019-10-21,91,33.7832854,-84.3819875
Einsteins,1077 Juniper ST NE,Atlanta,GA,30309,2019-02-21,98,33.7840684,-84.3819875
THRIVE ll RESTAURANT,101 MARIETTA ST STE 140,Atlanta,GA,30303,2019-10-17,94,33.7568359,-84.3920664
Sprinkles Atlanta,3393 Peachtree RD NE STE 3063,Atlanta,GA,30326,2017-11-20,94,33.8470906,-84.3623172
Au Bon Pain,231 Peachtree ST NE STE B71A,Atlanta,GA,30303,2018-12-27,87,33.7599974,-84.3862075
Lovies BBQ,3420 Piedmont RD STE B,Atlanta,GA,30305,2019-03-01,99,33.8480158,-84.3740216
Fresh To Order,190 Marietta ST STE 220,Atlanta,GA,30303,2020-03-04,90,33.7590584,-84.3950221
Firehouse Subs,225 Peachtree ST STE B-27,Atlanta,GA,30303,2019-09-04,100,33.7601673,-84.3870294
Holiday Inn &Suites Alpharetta,12505 Innovation WAY,Alpharetta,GA,30004,2020-01-09,100,34.0881552,-84.2747484
Wolf Creek Golf Club,3000 Union RD,Atlanta,GA,30331,2019-01-03,92,33.6801161,-84.5802305
The Federal,1080 Peachtree ST STE 6,Atlanta,GA,30309,2019-01-18,87,33.7839725,-84.3841840
Tokyo Bay Japanese Buffet,925 Holcomb Bridge RD,Roswell,GA,30076,2019-06-20,97,34.0263645,-84.3338680
Three Sisters Catering,7878 Roswell RD STE B,Atlanta,GA,30350,2020-01-29,100,33.9727588,-84.3590930
The Voo2 Sports Bar & Lounge,2997 Campbellton RD,Atlanta,GA,30311,2019-04-27,96,33.6961083,-84.4867776
Big Sky Buckhead,3201 Cains Hill PL,Atlanta,GA,30305,2016-08-23,99,33.8419216,-84.3800372
Hong Kong City,810 Ralph David Abernathy BLVD,Atlanta,GA,30310,2019-05-22,78,33.7380615,-84.4143845
White House Restaurant,3172 Peachtree RD NE,Atlanta,GA,30305,2019-06-20,100,33.8409736,-84.3765177
Bento Bus,1850 Howell Mill RD,Atlanta,GA,30318,2019-05-23,100,33.8063090,-84.4131840
HARDEES,891 Holcomb Bridge RD,Roswell,GA,30076,2019-12-05,100,34.0283753,-84.3365594
"Delightful Eatz Restaurant, Bar, & Grill",421 Edgewood AVE,Atlanta,GA,30312,2019-01-25,96,33.7541348,-84.3737958
850 F BarPizza,12635 Crabapple RD STE 310,Alpharetta,GA,30004,2018-03-30,100,34.0889870,-84.3431706
Volcano Asian Bistro,5316 Windward PKWY STE A,Alpharetta,GA,30004,2019-02-20,92,34.0887071,-84.2717045
House ofHummus,5950 North Point PKWY STE 127,Alpharetta,GA,30022,2020-01-14,100,34.0491752,-84.2812470
Negril Village,30 North AVE,Atlanta,GA,30308,2019-10-29,90,33.7715905,-84.3864421
Negril Village Catering (Upstairs),30 North AVE,Atlanta,GA,30308,2019-10-29,96,33.7715905,-84.3864421
Centennial Cafe,100 Auburn AVE,Atlanta,GA,30303,2020-02-21,100,33.7559187,-84.3833629
Babylon Cafe,2257 Lenox RD NE,Atlanta,GA,30324,2019-02-27,98,33.8167003,-84.3518018
J.Buffalo Wings,6595 Roswell RD STE H,Atlanta,GA,30328,2019-11-13,96,33.9352069,-84.3789116
China Dragon,798 Ponce De Leon AVE,Atlanta,GA,30306,2019-05-14,90,33.7741233,-84.3613315
Atlanta Breakfast Club,"249 Ivan Allen Jr., BLVD",Atlanta,GA,30313,2019-03-18,91,33.7649298,-84.3954531
"Tom, Dick, And Hank",191 Ralph David Abernathy BLVD,Atlanta,GA,30312,2019-04-05,83,33.7370236,-84.3941805
"Tom, Dick, And Hank (Bar)",191 Ralph David Abernathy BLVD,Atlanta,GA,30312,2019-09-05,100,33.7370236,-84.3941805
Downtown Wings,46 Broad ST SW,Atlanta,GA,30303,2019-03-22,87,33.7532050,-84.3920231
Pavilion Cafe,1150 Lake Hearn DR STE 360,Atlanta,GA,30342,2018-03-19,94,33.9129561,-84.3493576
Yoi Yoi,857 Collier RD STE 11A,Atlanta,GA,30318,2019-10-15,87,33.8103352,-84.4159945
Sandtown Pub,5819 Campbellton RD STE 202-203,Atlanta,GA,30331,2020-03-12,81,33.6995380,-84.5784118
Ocean Market,489 Peachtree ST NE,Atlanta,GA,30306,2018-07-24,96,33.7678553,-84.3852255
Cafe 2000,960 Johnson Ferry RD UNIT 123,Atlanta,GA,30342,2019-10-09,100,33.9081844,-84.3561356
Varuni Napoli,1540 Monroe DR NE,Atlanta,GA,30324,2019-01-04,99,33.7965354,-84.3687742
Supreme Fish Delight,3630 Market Place BLVD STE 820,Atlanta,GA,30344,2019-11-26,96,33.6584500,-84.5019347
Waffle House,6445 Roswell RD,Atlanta,GA,30328,2020-01-06,97,33.9308491,-84.3792776
Da Vinci's Donuts,131 S Main ST,Alpharetta,GA,30009,2019-07-11,96,34.0721514,-84.2965845
The King's Donuts,8420 Senoia RD STE 201,Fairburn,GA,30213,2018-12-18,95,33.5272859,-84.5751972
Ramada Plaza Atlanta Downtown Bar,450 Capitol AVE,Atlanta,GA,30312,2019-04-22,100,33.7424841,-84.3864832
Just Turkey,5370 Campbellton Fairburn STE 600,Fairburn,GA,30213,2018-09-19,100,33.6121995,-84.6102805
Ramada Plaza Atlanta Downtown Kitchen,450 Capitol AVE,Atlanta,GA,30312,2019-10-29,93,33.7424841,-84.3864832
Utopia Bar,10305 Medlock Bridge RD STE C-3,Duluth,GA,30097,2018-08-11,80,34.0322259,-84.1851347
Foundation Social Eatery,1570 Holcomb Bridge RD STE 810,Roswell,GA,30076,2019-10-24,100,34.0191806,-84.3125013
Lil Kiko's Taqueria,10965 Medlock Bridge RD,Duluth,GA,30097,2019-10-07,91,34.0479039,-84.1764420
Industry Tavern,3280 Peachtree RD STE 185&187,Atlanta,GA,30305,2020-01-24,100,33.8445051,-84.3712868
Georgia Tech Hotel and Conference Center Bar,800 Spring ST NW,Atlanta,GA,30308,2019-05-07,100,33.7764020,-84.3892600
Subway,12850 Highway 9 STE 1000,Alpharetta,GA,30004,2019-02-13,100,34.0962464,-84.2781623
Express Burger and Grill,7291 North Point PKWY,Alpharetta,GA,30022,2019-11-13,95,34.0437656,-84.3004869
Lotus Chinese Restaurant,8725 Roswell RD STE J,Atlanta,GA,30350,2019-09-16,90,33.9947921,-84.3500775
FIVE GUYS,2192 North Point CIR,Alpharetta,GA,30022,2019-06-06,100,34.0490003,-84.2940674
BGR,264 19th ST,Atlanta,GA,30363,2019-10-17,90,33.7930185,-84.3970950
Cafe Istanbul 3,2880 Holcomb Bridge RD,Alpharetta,GA,30022,2019-07-01,100,33.9907060,-84.2749562
Big Pie in the Sky Pizzeria,1010 Mansell RD STE 180,Roswell,GA,30076,2019-09-18,92,34.0430843,-84.3277039
The Manor Golf & Country Club-Kitchen,15952 Manor Club DR,Alpharetta,GA,30004,2018-03-09,92,34.1690018,-84.2614714
The Manor Golf & Country Club-Bar (Grill),15952 Manor Club DR,Alpharetta,GA,30004,2018-03-09,100,34.1690018,-84.2614714
The Manor Golf & Country Club -Pool Snack Bar,15952 Manor Club DR,Alpharetta,GA,30004,2018-03-09,100,34.1690018,-84.2614714
Avacado Vegan Cafe And Juice Bar,11105 State Bridge RD STE 140,Alpharetta,GA,30022,2020-01-27,97,34.0512808,-84.2251845
Roswell Nursing& Rehabilitation Center,1109 Green ST,Roswell,GA,30075,2019-11-12,93,34.0288240,-84.3590930
Giovanni's Italian Ice (summer only),383 Swanson DR STE 102,Lawrenceville,GA,30043,2014-02-25,100,33.9872790,-83.9867510
Jah Grille,6015 Lynmark WAY STE 150,Fairburn,GA,30213,2019-03-07,95,33.5943224,-84.6400083
Tacos & Tequilas Mexican Grill,650 Ponce De Leon AVE STE 800B,Atlanta,GA,30308,2019-05-29,93,33.7756070,-84.3662522
Century Center Cafe 2,4125 Welcome All RD,Atlanta,GA,30349,2019-02-20,91,33.6428075,-84.5233658
Willy's Mexicana Grill Commissary Kitchen,1920 Howell Mill RD,Atlanta,GA,30354,2019-06-06,96,33.8073639,-84.4131801
Fulton County Accountability Court Kitchen,1135 Jefferson ST UNIT A,Atlanta,GA,30318,2019-06-03,96,33.7762417,-84.4246628
Table One Inc.,3484 Peachtree RD STE 100,Atlanta,GA,30326,2018-07-26,95,33.8525480,-84.3617237
Gotta Have It Mobile,132 Mitchell ST STE c,Atlanta,GA,30303,2020-02-19,96,33.7504194,-84.3923586
MeMezz Restaurant,"3657 Martin Luther King. Jr., DR STE B",Atlanta,GA,30331,2019-07-02,95,33.7620659,-84.5075943
Georgian Terrace Main Kitchen,659 Peachtree ST,Atlanta,GA,30308,2019-08-23,100,33.7727116,-84.3843072
Georgian Terrace Butcher Shop,659 Peachtree ST,Atlanta,GA,30308,2019-08-23,100,33.7727116,-84.3843072
Georgian Terrace Livingtson Restaurant & Bar,659 Peachtree ST,Atlanta,GA,30308,2019-08-23,100,33.7727116,-84.3843072
Georgian Terrace Proof & Provision,659 Peachtree ST,Atlanta,GA,30308,2019-08-23,98,33.7727116,-84.3843072
Georgian Terrace Cafe Mims,659 Peachtree ST,Atlanta,GA,30308,2019-08-23,100,33.7727116,-84.3843072
Pita Grille,4630 Wieuca RD,Atlanta,GA,30329,2020-01-15,99,33.8749299,-84.3796677
CCP South America,1 Coca Cola PLZ NW,Atlanta,GA,30313,2019-06-04,100,33.7539533,-84.3813995
HARDEES,91 S Main Street,Alpharetta,GA,30004,2019-09-23,97,34.0731058,-84.2956196
Churchills British Pub,3223 Cains Hill PL,Atlanta,GA,30305,2019-03-21,92,33.8426473,-84.3802219
Krispy Krunchy Chicken,20 Broad ST STE F,Atlanta,GA,30303,2019-05-01,97,33.7540397,-84.3912163
Druid Hills Presbyterian Church,1026 Ponce De Leon AVE,Atlanta,GA,30306,2019-10-11,98,33.7744299,-84.3538622
Chef Rob's Truck,5290 ROSWELL RD STE A116,Atlanta,GA,30328,2019-12-16,100,33.8989849,-84.3820491
Scratch Fresh LLC,12890 N Highway 9 STE 160,Alpharetta,GA,30009,2019-10-17,99,34.0958378,-84.2759001
SSam Burger,2072 Defoors Ferry RD NW,Atlanta,GA,30318,2019-07-16,88,33.8121103,-84.4262821
656 Sports Bar & Grille (Kitchen),656 Pryor ST,Atlanta,GA,30312,2019-04-03,90,33.7369778,-84.3944906
656 Sports Bar & Grille (Bar),656 Pryor ST,Atlanta,GA,30312,2019-04-03,92,33.7369778,-84.3944906
"Top Golf USA,Inc",10900 Westside PKWY,Alpharetta,GA,30009,2019-10-23,100,34.0447874,-84.3082211
"Dunkin Donuts- BC 1766 HMR, LLC",1766 Howell Mill RD,Atlanta,GA,30318,2019-07-17,89,33.8023855,-84.4152045
"Dunkin Donuts, BC 1841 PA LLC",1841 Piedmont RD,Atlanta,GA,30324,2019-07-05,93,33.8080596,-84.3658903
"Dunkin Donuts- BC 610 SSNW, LLC",610 Spring ST NW,Atlanta,GA,30354,2019-01-18,92,33.7709028,-84.3894233
Dunkin Donuts,7804 Senoia RD,Fairburn,GA,30213,2019-09-17,88,33.5438931,-84.5764044
Panbury's LLC,209 Edgewood AVE SE STE 105 + 104,Atlanta,GA,30303,2019-12-05,100,33.7540215,-84.3799140
Egg Harbor Cafe,1820 Peachtree RD NW,Atlanta,GA,30309,2019-04-16,95,33.8049627,-84.3939581
Chow Bing,3330 Piedmont RD STE 22B,Atlanta,GA,30305,2018-11-30,100,33.8457987,-84.3744938
SnoBayou,1835 Savoy DR,Atlanta,GA,30341,2014-10-16,100,33.9194442,-84.3128663
Cook Out,403 Moreland AVE,Atlanta,GA,30316,2019-05-14,100,33.7430880,-84.3495835
Tapa Tapa,931 Monroe DR,Atlanta,GA,30308,2016-10-25,100,33.7794269,-84.3675836
Hardee's,7940 Senoia RD,Fairburn,GA,30213,2019-06-18,86,33.5383038,-84.5762056
Phoenix & Dragon,164 W. Wieuca RD STE 5,Atlanta,GA,30342,2017-12-20,96,33.8780583,-84.3814332
Lucy Mexican Restaurant,575 Main ST,Palmetto,GA,30268,2019-03-27,80,33.5179672,-84.6690588
Coffee Bianco,1585 Holcomb bridge RD STE 200,Roswell,GA,30076,2019-02-14,100,34.0187294,-84.3150449
Crust Pasta & Pizzeria,131 South Main Street STE H,Alpharetta,GA,30009,2019-07-15,90,34.0721514,-84.2965845
Mama's Cocina,1958 Piedmont RD,Atlanta,GA,30324,2019-07-17,90,33.8109278,-84.3670683
Plaza Theatre Foundation,1049 Ponce De Leon AVE,Atlanta,GA,30306,2019-01-08,98,33.7734567,-84.3530406
TOP GOLF BAR ROOF TERRACE,10900 Westside PKWY,Alpharetta,GA,30009,2019-02-19,98,34.0447874,-84.3082211
TOP GOLF MAIN BAR,10900 Westside PKWY,Alpharetta,GA,30009,2019-02-19,100,34.0447874,-84.3082211
Dairy Queen,1519 Norman Berry DR,Atlanta,GA,30344,2019-09-11,92,33.6840452,-84.4385797
The Cheesecake Factory,3393 Peachtree RD NE STE 3076,Atlanta,GA,30326,2019-06-06,96,33.8463350,-84.3635778
